metric,value,note
official_metrics_available,1,"Official-style metrics based on BSM2 perf_plant_bsm2.m definitions, excluding optional fuzzy risk prompt."
eval_start_day,245,""
eval_stop_day,609,""
eval_days,364,""
elapsed_seconds,3661.5240168,""
IQI_kg_pollution_units_per_d,74783.3137967288,""
EQI_kg_pollution_units_per_d,5576.66503244758,""
OCI_total,9450.03232282746,""
OCI_sludge_cost,8123.306806782,""
OCI_aeration_energy_cost,4225.43261570696,""
OCI_pumping_energy_cost,445.452527093317,""
OCI_carbon_cost,2400,""
OCI_mixing_energy_cost,767.999999999672,""
OCI_heating_cost,0,""
OCI_methane_credit,6512.15962675448,""
airenergy_kWh_per_d,4225.43261570696,""
pumpenergy_kWh_per_d,445.452527093317,""
mixenergy_kWh_per_d,767.999999999672,""
carbon_kgCOD_per_d,800,""
methane_kgCH4_per_d,1085.35993779241,""
effluent_flow_m3_per_d,20661.0241021235,""
SNH95_gN_per_m3,1.54265415003299,""
TN95_gN_per_m3,16.7524799558722,""
TSS95_gSS_per_m3,19.7367309726346,""
TN_violation_days,4.28124999999611,""
TN_violation_percent,1.17616758241651,""
TN_violation_count,32,""
COD_violation_days,0.208333333333144,""
COD_violation_percent,0.0572344322343802,""
COD_violation_count,3,""
SNH_violation_days,1.48958333333198,""
SNH_violation_percent,0.409226190475818,""
SNH_violation_count,11,""
TSS_violation_days,1.24999999999886,""
TSS_violation_percent,0.343406593406281,""
TSS_violation_count,11,""
BOD5_violation_days,0.822916666665918,""
BOD5_violation_percent,0.226076007325802,""
BOD5_violation_count,9,""
