metric,value
rows,34945
start_day,245
stop_day,609
elapsed_seconds,3661.5240168
mean_EQI,5732.30890474027
mean_AE,4000
mean_PE,3097.19999999953
mean_EC,0.800000000000119
mean_J,1315754.18094806
mean_ratio,1.01718653703726
mean_reward,0.700616412558565
mean_SNO_2,3.93208620828868
mean_SNO_3,7.3239445206447
mean_SNO_5,11.0579482162394
mean_SNH_2,7.22253714713762
mean_SNH_5,0.366386442258274
mean_SO_4,2.00041187712217
mean_SO_5,1.57441849166251
mean_TSS_5,3261.52800336303
mean_Qec,2
mean_Qint,61944
mean_Qw,375.00214622979
