metric,value,note
official_metrics_available,1,"Official-style metrics based on BSM2 perf_plant_bsm2.m definitions, excluding optional fuzzy risk prompt."
eval_start_day,245,""
eval_stop_day,609,""
eval_days,364,""
elapsed_seconds,NaN,""
IQI_kg_pollution_units_per_d,74783.3137967288,""
EQI_kg_pollution_units_per_d,5714.02892065324,""
OCI_total,11550.0186191672,""
OCI_sludge_cost,8490.46750113766,""
OCI_aeration_energy_cost,4368.54187185178,""
OCI_pumping_energy_cost,445.447004661521,""
OCI_carbon_cost,4251.35428728141,""
OCI_mixing_energy_cost,768.020604395277,""
OCI_heating_cost,0,""
OCI_methane_credit,6773.81265016049,""
airenergy_kWh_per_d,4368.54187185178,""
pumpenergy_kWh_per_d,445.447004661521,""
mixenergy_kWh_per_d,768.020604395277,""
carbon_kgCOD_per_d,1417.11809576047,""
methane_kgCH4_per_d,1128.96877502675,""
effluent_flow_m3_per_d,20662.0415303641,""
SNH95_gN_per_m3,6.19478522808785,""
TN95_gN_per_m3,16.395834693348,""
TSS95_gSS_per_m3,19.2730502961494,""
TN_violation_days,4.12499999999625,""
TN_violation_percent,1.13324175824073,""
TN_violation_count,21,""
COD_violation_days,0.208333333333144,""
COD_violation_percent,0.0572344322343802,""
COD_violation_count,3,""
SNH_violation_days,55.1249999999499,""
SNH_violation_percent,15.144230769217,""
SNH_violation_count,163,""
TSS_violation_days,0.968749999999119,""
TSS_violation_percent,0.266140109889868,""
TSS_violation_count,9,""
BOD5_violation_days,0.833333333332575,""
BOD5_violation_percent,0.228937728937521,""
BOD5_violation_count,9,""
