metric,value,note
reconstructed,1,"Not a raw export. Values transcribed from the dissertation: Table 5.5 (synthesis) and the G2ANet vs manual baseline table in the results chapter. The original run summary was not retained."
eval_start_day,245,""
eval_stop_day,609,""
eval_days,364,""
configuration,original_action_ranges,"Wide action ranges, cost-only reward, before range restriction."
EQI_kg_pollution_units_per_d,31911.8,"Table 5.5"
OCI_total,4137.0,"Table 5.5. Components below sum to this value."
OCI_sludge_cost,6833.4,"Results chapter table"
OCI_aeration_energy_cost,788.3,"Table 5.5"
OCI_pumping_energy_cost,419.7,"Results chapter table"
OCI_carbon_cost,3647.5,"Table 5.5"
OCI_mixing_energy_cost,1632.5,"Results chapter table"
OCI_heating_cost,0,"Zero in all BSM2 runs in this work"
OCI_methane_credit,9184.4,"Results chapter table, reported as -9184.4 as a credit"
airenergy_kWh_per_d,788.3,"Equal to OCI_aeration_energy_cost in this benchmark"
pumpenergy_kWh_per_d,419.7,"Equal to OCI_pumping_energy_cost in this benchmark"
mixenergy_kWh_per_d,1632.5,"Equal to OCI_mixing_energy_cost in this benchmark"
SNH95_gN_per_m3,50.57,"Table 5.5"
TN95_gN_per_m3,52.82,"Table 5.5"
SNH_violation_percent,91.31,"Table 5.5"
TN_violation_percent,90.75,"Table 5.5"
COD_violation_percent,68.4,"Results chapter table"
BOD5_violation_percent,82.2,"Results chapter table"
TSS_violation_percent,5.9,"Results chapter table"
IQI_kg_pollution_units_per_d,,"Not reported in the dissertation for this run"
carbon_kgCOD_per_d,,"Not reported in the dissertation for this run"
methane_kgCH4_per_d,,"Not reported in the dissertation for this run"
effluent_flow_m3_per_d,,"Not reported in the dissertation for this run"
TSS95_gSS_per_m3,,"Not reported in the dissertation for this run"
TN_violation_days,,"Not reported, only the percentage"
TN_violation_count,,"Not reported, only the percentage"
SNH_violation_days,,"Not reported, only the percentage"
SNH_violation_count,,"Not reported, only the percentage"
COD_violation_days,,"Not reported, only the percentage"
COD_violation_count,,"Not reported, only the percentage"
BOD5_violation_days,,"Not reported, only the percentage"
BOD5_violation_count,,"Not reported, only the percentage"
TSS_violation_days,,"Not reported, only the percentage"
TSS_violation_count,,"Not reported, only the percentage"
